instance,size,gurobi_model,objective,status,runtime,mip_gap,milp_variables,milp_constraints,formulation,solver,gurobi_optimum,true_gap_percent,is_feasible,total_violation,feasible_fraction,linking,qubo_variables_x,qubo_quadratic_terms_x,num_reads,best_energy,best_objective,best_is_feasible,best_total_violation,best_max_violation,best_feasible_objective,best_feasible_energy,num_samples,energy_mismatch,reported_best_energy,argmin_agreement,unique_samples,feasible_reads,sa_num_sweeps,sa_seed,qa_chain_strength,qa_chain_strength_alpha,qa_annealing_time,qa_chain_break_method,qa_chain_break_fraction,qa_wall_clock,qa_qpu_access_time_us,qa_qpu_sampling_time_us,embedding_status,logical_variables,physical_qubits,max_chain_length,mean_chain_length,embedding_search_time,qa_message,qubo_variables_y,qubo_terms,qubo_quadratic_terms_y,decision_variables,encoding_variables,slack_variables,qubo_min,qubo_max,qubo_range,penalty_objective_upper_bound,penalty_margin,penalty_lambda
6x6,6,,5193.725600000001,OK,6.466006699949503,,,,MS,SA,3968.8513,30.86218674909793,True,0.0,0.977,False,259.0,8701.0,1000.0,5193.725599691272,5193.725600000001,True,0.0,0.0,5193.725600000001,5193.725599691272,1000.0,6.304287800803023e-13,5193.725621461868,True,1000.0,977.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,259,8960,8701,6,216,37,-57278901.419520006,61754762.879020005,119033664.29854,11791.6052,1.1,12970.76572
6x6,6,,5930.6206,OK,9.53632410010323,,,,MS,SA,3968.8513,49.42914590929624,True,0.0,0.653,True,475.0,10753.0,1000.0,6031.706301882863,6031.7063,True,0.0,0.0,5930.6206,31872.152040347457,1000.0,5.038569854828767e-13,6031.70635008812,True,1000.0,653.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,259,8960,8701,6,216,37,-57278901.419520006,61754762.879020005,119033664.29854,11791.6052,1.1,12970.76572
8x8,8,,5271.9611,OK,1.185111299622804,,,,SS,SA,3952.5153,33.38243371252732,True,0.0,0.002,False,117.0,1030.0,1000.0,5725.805300213367,5725.8053,True,0.0,0.0,5271.9611,95394.8940001982,1000.0,5.095009427804938e-14,5725.805321216583,True,1000.0,2.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,117,1147,1030,72,0,45,-336843474.00704,384213301.75078,721056775.7578199,16385.9878,1.1,18024.58658
8x8,8,,5962.6765,OK,1.7155650998465717,,,,SS,SA,3952.5153,50.857771505653616,True,1.0,0.003,True,181.0,1158.0,1000.0,24577.33897984649,6552.7524,False,1.0,1.0,5962.6765,78061.02281976108,1000.0,2.35306492534788e-14,24577.338972568512,True,1000.0,3.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,117,1147,1030,72,0,45,-336843474.00704,384213301.75078,721056775.7578199,16385.9878,1.1,18024.58658
8x8,8,,6683.2315,OK,11.762937099672854,,,,MS,SA,3626.6311,84.28208758260524,True,0.0,0.909,False,413.0,17603.0,1000.0,6683.231500297785,6683.2315,True,0.0,0.0,6683.2315,6683.231500297785,1000.0,5.056489646156831e-13,6683.231325149536,True,1000.0,909.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,413,18016,17603,8,360,45,-336843474.00704,384213301.75078,721056775.7578199,16385.9878,1.1,18024.58658
8x8,8,,6410.8175,OK,17.559278899803758,,,,MS,SA,3626.6311,76.77059847636556,True,0.0,0.597,True,773.0,20843.0,1000.0,6897.2643955647945,6897.264399999999,True,0.0,0.0,6410.8175,24435.404078245163,1000.0,4.368746157649873e-13,6897.264137268066,True,1000.0,597.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,413,18016,17603,8,360,45,-336843474.00704,384213301.75078,721056775.7578199,16385.9878,1.1,18024.58658
15x15,15,,,OK,3.645963300019503,,,,SS,SA,8489.1855,,False,6.0,0.0,False,329.0,5026.0,1000.0,389389.5386971105,13289.6178,False,6.0,1.0,,,1000.0,5.7227039870327865e-12,389389.5469055176,True,1000.0,0.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,329,5355,5026,240,0,89,-749692508.9940001,828988069.9566501,1578680578.9506502,56984.836500000005,1.1,62683.32015000001
15x15,15,,,OK,5.4305549999699,,,,SS,SA,8489.1855,,False,6.0,0.0,True,554.0,5476.0,1000.0,451333.6201519468,12550.379100000002,False,6.0,1.0,,,1000.0,5.50973098721669e-12,451333.6277923584,True,1000.0,0.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,329,5355,5026,240,0,89,-749692508.9940001,828988069.9566501,1578680578.9506502,56984.836500000005,1.1,62683.32015000001
15x15,15,,14477.034,OK,66.17577299987897,,,,MS,SA,7909.2986,83.03815208089375,True,0.0,0.999,False,1439.0,123857.0,1000.0,14477.033998966215,14477.034,True,0.0,0.0,14477.034,14477.033998966215,1000.0,2.7476089534171312e-11,14477.053024291992,True,1000.0,999.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,1439,125296,123857,15,1335,89,-749692508.9940001,828988069.9566501,1578680578.9506502,56984.836500000005,1.1,62683.32015000001
15x15,15,,14505.1572,OK,86.22536879964173,,,,MS,SA,7909.2986,83.39372343332694,True,0.0,0.588,True,2774.0,136427.0,1000.0,77452.06584739685,14768.7457,True,0.0,0.0,14505.1572,892071.6393041611,1000.0,1.3629532974964108e-11,77452.08416748047,True,1000.0,588.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,1439,125296,123857,15,1335,89,-749692508.9940001,828988069.9566501,1578680578.9506502,56984.836500000005,1.1,62683.32015000001
4x4,4,,3070.7826000000005,OK,1.2395088002085686,,,,SS,QA,2416.8364,27.05794235803467,True,3.0,0.003,False,44.0,246.0,1000.0,45167.79749999347,3747.6264,False,3.0,1.0,3070.7826000000005,1222007.2463999991,1000.0,1.1866767877203837e-15,45167.79750000802,True,1000.0,3.0,,,11494097.48025,1.5,20.0,majority_vote,0.0189772727272727,1.2395088002085686,218138.76,202380.0,OK,44.0,105.0,4.0,2.386363636363636,0.6271463995799422,,44,290,246,20,0,24,-30650926.614000004,28995066.636400003,59645993.25040001,5379.243,1.1,5917.167300000001
4x4,4,,3085.3246,OK,1.215166499838233,,,,SS,QA,2416.8364,27.659638029284885,True,1.0,0.003,True,60.0,278.0,1000.0,238964.33840002253,2277.6464,False,1.0,1.0,3085.3246,3038592.149500008,1000.0,9.675025468567429e-16,238964.338400001,True,1000.0,3.0,,,11498535.355725002,1.5,20.0,majority_vote,0.0045166666666666,1.215166499838233,175516.36,159760.0,OK,60.0,121.0,5.0,2.0166666666666666,0.6944025000557303,,44,290,246,20,0,24,-30650926.614000004,28995066.636400003,59645993.25040001,5379.243,1.1,5917.167300000001
4x4,4,,,OK,1.595992799848318,,,,MS,QA,2416.8364,,False,16.0,0.0,False,120.0,2540.0,1000.0,761113.6534000002,3716.239000000001,False,16.0,8.0,,,1000.0,3.8928172778872535e-15,761113.6533999873,True,1000.0,0.0,,,9940841.064,1.5,20.0,majority_vote,0.0005083333333333,1.595992799848318,234596.76,218840.0,OK,120.0,1060.0,16.0,8.833333333333334,29.26419989997521,,120,2660,2540,4,92,24,-26508909.504000004,28995066.636400003,55503976.14040001,5379.243,1.1,5917.167300000001
