instance,formulation,mode,capacity_multiplier,ratio,lambda_capacity,lambda_assignment,qubo_variables,qubo_quadratic_terms,qubo_range,max_abs_coupling,assignment_strength,capacity_strength,objective_strength,status,feasible_fraction,best_feasible_objective,true_gap_percent,runtime,sampler,embedding_status,physical_qubits,max_chain_length,mean_chain_length,embedding_search_time,qa_chain_strength,qa_chain_break_fraction,logical_variables
4x4,SS,offline,1.1,1.0,5917.167300000001,5917.167300000001,44,246,59645993.25040001,7662731.653500001,0.0015444015444015444,2.1142857142857143,8.614786865183807e-06,OK,0.009,2593.0879,7.292653321507399,0.4227271997369826,SimulatedAnnealing,OK,105,4,2.3863636363636362,0.3748901002109051,,,
4x4,SS,offline,1.1,10.0,5917.167300000001,59171.67300000001,44,246,59645993.25040001,7662731.653500001,0.015444015444015444,2.1142857142857143,8.614786865183807e-06,OK,0.02,2416.8364,0.0,0.444690499920398,SimulatedAnnealing,OK,105,4,2.3863636363636362,0.3748901002109051,,,
4x4,SS,offline,1.1,50.0,5917.167300000001,295858.36500000005,44,246,59645993.25040001,7662731.653500001,0.07722007722007722,2.1142857142857143,8.614786865183807e-06,OK,0.047,2426.5714,0.4027992958066865,0.4447645000182092,SimulatedAnnealing,OK,105,4,2.3863636363636362,0.3748901002109051,,,
4x4,SS,offline,1.1,100.0,5917.167300000001,591716.7300000001,44,246,59645993.25040001,7662731.653500001,0.15444015444015444,2.1142857142857143,8.614786865183807e-06,OK,0.129,2416.8364,0.0,0.4457554002292454,SimulatedAnnealing,OK,105,4,2.3863636363636362,0.3748901002109051,,,
4x4,SS,offline,1.1,200.0,5917.167300000001,1183433.4600000002,44,246,59645993.25040001,7662731.653500001,0.3088803088803089,2.1142857142857143,8.614786865183807e-06,OK,0.217,2416.8364,0.0,0.443022099789232,SimulatedAnnealing,OK,105,4,2.3863636363636362,0.3748901002109051,,,
4x4,SS,offline,1.1,500.0,5917.167300000001,2958583.6500000004,44,246,59645993.25040001,7662731.653500001,0.7722007722007722,2.1142857142857143,8.614786865183807e-06,OK,0.255,2416.8364,0.0,0.4253422999754548,SimulatedAnnealing,OK,105,4,2.3863636363636362,0.3748901002109051,,,
4x4,SS,offline,1.1,1000.0,5917.167300000001,5917167.300000001,44,246,59645993.25040001,7662731.653500001,1.5444015444015444,2.1142857142857143,8.614786865183807e-06,OK,0.227,2416.8364,0.0,0.41548579977825284,SimulatedAnnealing,OK,105,4,2.3863636363636362,0.3748901002109051,,,
4x4,SS,offline,1.1,2000.0,5917.167300000001,11834334.600000001,44,246,59645993.25040001,7662731.653500001,3.088803088803089,2.1142857142857143,8.614786865183807e-06,OK,0.19,2416.8364,0.0,0.43490289989858866,SimulatedAnnealing,OK,105,4,2.3863636363636362,0.3748901002109051,,,
4x4,SS,offline,1.1,5000.0,5917.167300000001,29585836.500000004,44,246,89822599.61400001,14792918.250000002,4.0,1.0952,4.462459596165212e-06,OK,0.141,2416.8364,0.0,0.4062536000274122,SimulatedAnnealing,OK,105,4,2.3863636363636362,0.3748901002109051,,,
6x6,SS,offline,1.1,1.0,12970.765720000001,12970.765720000001,79,571,151253046.34702003,22374570.867000002,0.0011594202898550724,2.898550724637681,1.4402600251667208e-06,OK,0.002,5988.4188,22.542894175608804,0.7376132002100348,SimulatedAnnealing,OK,278,7,3.518987341772152,1.8953118002973497,,,
6x6,SS,offline,1.1,10.0,12970.765720000001,129707.65720000002,79,571,151253046.34702003,22374570.867000002,0.011594202898550725,2.898550724637681,1.4402600251667208e-06,OK,0.005,6116.8874,25.171787474569214,0.7920172000303864,SimulatedAnnealing,OK,278,7,3.518987341772152,1.8953118002973497,,,
6x6,SS,offline,1.1,50.0,12970.765720000001,648538.2860000001,79,571,151253046.34702003,22374570.867000002,0.057971014492753624,2.898550724637681,1.4402600251667208e-06,OK,0.024,5649.233700000001,15.602042975414982,0.7990095997229218,SimulatedAnnealing,OK,278,7,3.518987341772152,1.8953118002973497,,,
6x6,SS,offline,1.1,100.0,12970.765720000001,1297076.5720000002,79,571,151253046.34702003,22374570.867000002,0.11594202898550725,2.898550724637681,1.4402600251667208e-06,OK,0.088,4972.9097,1.7622126081025777,0.7876446000300348,SimulatedAnnealing,OK,278,7,3.518987341772152,1.8953118002973497,,,
6x6,SS,offline,1.1,200.0,12970.765720000001,2594153.1440000003,79,571,151253046.34702003,22374570.867000002,0.2318840579710145,2.898550724637681,1.4402600251667208e-06,OK,0.235,5046.3187,3.26440402439718,0.7874703002162278,SimulatedAnnealing,OK,278,7,3.518987341772152,1.8953118002973497,,,
6x6,SS,offline,1.1,500.0,12970.765720000001,6485382.86,79,571,151253046.34702003,22374570.867000002,0.5797101449275363,2.898550724637681,1.4402600251667208e-06,OK,0.405,4886.794,0.0,0.7575752004049718,SimulatedAnnealing,OK,278,7,3.518987341772152,1.8953118002973497,,,
6x6,SS,offline,1.1,1000.0,12970.765720000001,12970765.72,79,571,151253046.34702003,22374570.867000002,1.1594202898550725,2.898550724637681,1.4402600251667208e-06,OK,0.353,5038.0425,3.0950455451979293,0.7422869997099042,SimulatedAnnealing,OK,278,7,3.518987341772152,1.8953118002973497,,,
6x6,SS,offline,1.1,2000.0,12970.765720000001,25941531.44,79,571,151253046.34702003,22374570.867000002,2.318840579710145,2.898550724637681,1.4402600251667208e-06,OK,0.254,5110.0446,4.568447125047634,0.7325929999351501,SimulatedAnnealing,OK,278,7,3.518987341772152,1.8953118002973497,,,
6x6,SS,offline,1.1,5000.0,12970.765720000001,64853828.60000001,79,571,219205940.66800004,32426914.300000004,4.0,2.0,9.937794173650372e-07,OK,0.123,5152.6941,5.441197234833305,0.707396499812603,SimulatedAnnealing,OK,278,7,3.518987341772152,1.8953118002973497,,,
8x8,SS,offline,1.1,1.0,18024.58658,18024.58658,117,1030,721056775.7578199,84210868.50175999,0.00042808219178082195,0.8287671232876714,1.5855910570167004e-07,OK,0.002,5271.9610999999995,33.3824337125273,1.211864999961108,SimulatedAnnealing,OK,604,10,5.162393162393163,7.34929300006479,,,
8x8,SS,offline,1.1,10.0,18024.58658,180245.8658,117,1030,721056775.7578199,84210868.50175999,0.00428082191780822,0.8287671232876714,1.5855910570167004e-07,OK,0.004,6003.3598,51.887073024106954,1.2988783000037074,SimulatedAnnealing,OK,604,10,5.162393162393163,7.34929300006479,,,
8x8,SS,offline,1.1,50.0,18024.58658,901229.3289999999,117,1030,721056775.7578199,84210868.50175999,0.021404109589041095,0.8287671232876714,1.5855910570167004e-07,OK,0.019,4728.3360999999995,19.628533759249443,1.2779064998030663,SimulatedAnnealing,OK,604,10,5.162393162393163,7.34929300006479,,,
8x8,SS,offline,1.1,100.0,18024.58658,1802458.6579999998,117,1030,721056775.7578199,84210868.50175999,0.04280821917808219,0.8287671232876714,1.5855910570167004e-07,OK,0.07,5236.5315,32.4860526156597,1.2611406999640167,SimulatedAnnealing,OK,604,10,5.162393162393163,7.34929300006479,,,
8x8,SS,offline,1.1,200.0,18024.58658,3604917.3159999996,117,1030,721056775.7578199,84210868.50175999,0.08561643835616438,0.8287671232876714,1.5855910570167004e-07,OK,0.277,4811.9295,21.743475604003358,1.2556166998110712,SimulatedAnnealing,OK,604,10,5.162393162393163,7.34929300006479,,,
8x8,SS,offline,1.1,500.0,18024.58658,9012293.29,117,1030,721056775.7578199,84210868.50175999,0.21404109589041095,0.8287671232876714,1.5855910570167004e-07,OK,0.444,4534.2445,14.717949352403512,1.226002899929881,SimulatedAnnealing,OK,604,10,5.162393162393163,7.34929300006479,,,
8x8,SS,offline,1.1,1000.0,18024.58658,18024586.58,117,1030,721056775.7578199,84210868.50175999,0.4280821917808219,0.8287671232876714,1.5855910570167004e-07,OK,0.284,4739.238,19.904355588452756,1.194113299716264,SimulatedAnnealing,OK,604,10,5.162393162393163,7.34929300006479,,,
8x8,SS,offline,1.1,2000.0,18024.58658,36049173.16,117,1030,721056775.7578199,84210868.50175999,0.8561643835616438,0.8287671232876714,1.5855910570167004e-07,OK,0.1,4863.1006,23.03812207886962,1.1721288999542594,SimulatedAnnealing,OK,604,10,5.162393162393163,7.34929300006479,,,
8x8,SS,offline,1.1,5000.0,18024.58658,90122932.89999999,117,1030,721056775.7578199,84210868.50175999,2.1404109589041096,0.8287671232876714,1.5855910570167004e-07,OK,0.014,5359.0592,35.58604567577511,1.0910110999830067,SimulatedAnnealing,OK,604,10,5.162393162393163,7.34929300006479,,,
15x15,SS,offline,1.1,1.0,62683.32015000001,62683.32015000001,329,5026,1578680578.9506502,187423127.24850002,0.0006688963210702341,1.2949832775919734,1.3273762083275187e-07,OK,0.0,,,3.4802311998791993,SimulatedAnnealing,NOT_EMBEDDABLE,0,0,,304.4878336000256,,,
15x15,SS,offline,1.1,10.0,62683.32015000001,626833.2015000001,329,5026,1578680578.9506502,187423127.24850002,0.006688963210702341,1.2949832775919734,1.3273762083275187e-07,OK,0.0,,,3.762477499898523,SimulatedAnnealing,NOT_EMBEDDABLE,0,0,,304.4878336000256,,,
15x15,SS,offline,1.1,50.0,62683.32015000001,3134166.0075000003,329,5026,1578680578.9506502,187423127.24850002,0.033444816053511704,1.2949832775919734,1.3273762083275187e-07,OK,0.0,,,3.709573899861425,SimulatedAnnealing,NOT_EMBEDDABLE,0,0,,304.4878336000256,,,
15x15,SS,offline,1.1,100.0,62683.32015000001,6268332.015000001,329,5026,1578680578.9506502,187423127.24850002,0.06688963210702341,1.2949832775919734,1.3273762083275187e-07,OK,0.0,,,3.674870299641043,SimulatedAnnealing,NOT_EMBEDDABLE,0,0,,304.4878336000256,,,
15x15,SS,offline,1.1,200.0,62683.32015000001,12536664.030000001,329,5026,1578680578.9506502,187423127.24850002,0.13377926421404682,1.2949832775919734,1.3273762083275187e-07,OK,0.02,12368.541699999998,45.69762552602954,3.671256300061941,SimulatedAnnealing,NOT_EMBEDDABLE,0,0,,304.4878336000256,,,
15x15,SS,offline,1.1,500.0,62683.32015000001,31341660.075000003,329,5026,1578680578.9506502,187423127.24850002,0.33444816053511706,1.2949832775919734,1.3273762083275187e-07,OK,0.054,11452.280900000002,34.90435448724736,3.5857933000661433,SimulatedAnnealing,NOT_EMBEDDABLE,0,0,,304.4878336000256,,,
15x15,SS,offline,1.1,1000.0,62683.32015000001,62683320.150000006,329,5026,1578680578.9506502,187423127.24850002,0.6688963210702341,1.2949832775919734,1.3273762083275187e-07,OK,0.02,12091.9574,42.43954735115636,3.5824008998461068,SimulatedAnnealing,NOT_EMBEDDABLE,0,0,,304.4878336000256,,,
