instance,formulation,topology,topology_label,topology_size,timeout,tries,seed,logical_variables,logical_edges,sweep,success,elapsed,physical_qubits,avg_chain_length,max_chain_length,embedding_overhead
8x8,MS,pegasus,qpu:pegasus,-1,300,5,2024,413,17603,timeout,False,316.40014169999995,,,,
8x8,MS,pegasus,qpu:pegasus,-1,300,5,2025,413,17603,timeout,False,316.7356293000012,,,,
8x8,MS,pegasus,qpu:pegasus,-1,300,5,2026,413,17603,timeout,False,315.3821655000029,,,,
8x8,MS,pegasus,qpu:pegasus,-1,300,5,2027,413,17603,timeout,False,302.940322800001,,,,
8x8,MS,pegasus,qpu:pegasus,-1,300,5,2028,413,17603,timeout,False,312.8447782000003,,,,
8x8,MS,pegasus,qpu:pegasus,-1,600,5,2024,413,17603,timeout,False,609.7597964000015,,,,
8x8,MS,pegasus,qpu:pegasus,-1,600,5,2025,413,17603,timeout,False,608.3396783000026,,,,
8x8,MS,pegasus,qpu:pegasus,-1,600,5,2026,413,17603,timeout,False,613.9569470000024,,,,
8x8,MS,pegasus,qpu:pegasus,-1,600,5,2027,413,17603,timeout,False,614.9362847999982,,,,
8x8,MS,pegasus,qpu:pegasus,-1,600,5,2028,413,17603,timeout,False,611.6231221000016,,,,
8x8,MS,pegasus,qpu:pegasus,-1,1200,5,2024,413,17603,timeout,False,1217.4636973000015,,,,
8x8,MS,pegasus,qpu:pegasus,-1,1200,5,2025,413,17603,timeout,False,1212.229484399999,,,,
8x8,MS,pegasus,qpu:pegasus,-1,1200,5,2026,413,17603,timeout,False,1208.2886782000023,,,,
8x8,MS,pegasus,qpu:pegasus,-1,1200,5,2027,413,17603,timeout,False,1217.126199000002,,,,
8x8,MS,pegasus,qpu:pegasus,-1,1200,5,2028,413,17603,timeout,False,1210.7691801000035,,,,
8x8,MS,pegasus,qpu:pegasus,-1,2400,5,2024,413,17603,timeout,False,2163.429092700004,,,,
8x8,MS,pegasus,qpu:pegasus,-1,2400,5,2025,413,17603,timeout,False,1941.8608099999983,,,,
8x8,MS,pegasus,qpu:pegasus,-1,2400,5,2026,413,17603,timeout,False,2403.647809300004,,,,
8x8,MS,pegasus,qpu:pegasus,-1,2400,5,2027,413,17603,timeout,False,2206.6083067,,,,
8x8,MS,pegasus,qpu:pegasus,-1,2400,5,2028,413,17603,timeout,False,1618.055985300001,,,,
15x15,MS,pegasus,qpu:pegasus,-1,300,5,2024,1439,123857,timeout,False,408.56394120000186,,,,
15x15,MS,pegasus,qpu:pegasus,-1,300,5,2025,1439,123857,timeout,False,415.6674832999997,,,,
15x15,MS,pegasus,qpu:pegasus,-1,300,5,2026,1439,123857,timeout,False,422.3094013000009,,,,
15x15,MS,pegasus,qpu:pegasus,-1,300,5,2027,1439,123857,timeout,False,419.4391791000016,,,,
15x15,MS,pegasus,qpu:pegasus,-1,300,5,2028,1439,123857,timeout,False,413.2322722000026,,,,
15x15,MS,pegasus,qpu:pegasus,-1,600,5,2024,1439,123857,timeout,False,702.3152172000046,,,,
15x15,MS,pegasus,qpu:pegasus,-1,600,5,2025,1439,123857,timeout,False,716.2656096999999,,,,
15x15,MS,pegasus,qpu:pegasus,-1,600,5,2026,1439,123857,timeout,False,718.1088921999981,,,,
15x15,MS,pegasus,qpu:pegasus,-1,600,5,2027,1439,123857,timeout,False,699.8237909000018,,,,
15x15,MS,pegasus,qpu:pegasus,-1,600,5,2028,1439,123857,timeout,False,728.3729508000033,,,,
15x15,MS,pegasus,qpu:pegasus,-1,1200,5,2024,1439,123857,timeout,False,1313.941750900005,,,,
15x15,MS,pegasus,qpu:pegasus,-1,1200,5,2025,1439,123857,timeout,False,1296.525167199994,,,,
15x15,MS,pegasus,qpu:pegasus,-1,1200,5,2026,1439,123857,timeout,False,1298.5030689999985,,,,
15x15,MS,pegasus,qpu:pegasus,-1,1200,5,2027,1439,123857,timeout,False,1310.1874884999995,,,,
15x15,MS,pegasus,qpu:pegasus,-1,1200,5,2028,1439,123857,timeout,False,1318.9469334000023,,,,
15x15,MS,pegasus,qpu:pegasus,-1,2400,5,2024,1439,123857,timeout,False,2496.1373351,,,,
15x15,MS,pegasus,qpu:pegasus,-1,2400,5,2025,1439,123857,timeout,False,2438.0019724000013,,,,
15x15,MS,pegasus,qpu:pegasus,-1,2400,5,2026,1439,123857,timeout,False,2480.229662899997,,,,
15x15,MS,pegasus,qpu:pegasus,-1,2400,5,2027,1439,123857,timeout,False,2495.8938116000063,,,,
15x15,MS,pegasus,qpu:pegasus,-1,2400,5,2028,1439,123857,timeout,False,2492.019339199993,,,,
4x4,MS,zephyr,qpu:zephyr,-1,300,5,2024,120,2540,timeout,True,36.11764599999879,965.0,8.041666666666666,14.0,8.041666666666666
4x4,MS,zephyr,qpu:zephyr,-1,300,5,2025,120,2540,timeout,True,33.66969289999906,918.0,7.65,14.0,7.65
4x4,MS,zephyr,qpu:zephyr,-1,300,5,2026,120,2540,timeout,True,11.38760100000036,1046.0,8.716666666666667,15.0,8.716666666666667
4x4,MS,zephyr,qpu:zephyr,-1,300,5,2027,120,2540,timeout,True,28.78729970000132,825.0,6.875,12.0,6.875
4x4,MS,zephyr,qpu:zephyr,-1,300,5,2028,120,2540,timeout,True,22.35492989999875,1035.0,8.625,16.0,8.625
4x4,MS,zephyr,qpu:zephyr,-1,600,5,2024,120,2540,timeout,True,35.73532030000024,965.0,8.041666666666666,14.0,8.041666666666666
4x4,MS,zephyr,qpu:zephyr,-1,600,5,2025,120,2540,timeout,True,34.065650200000164,918.0,7.65,14.0,7.65
4x4,MS,zephyr,qpu:zephyr,-1,600,5,2026,120,2540,timeout,True,11.300275899999178,1046.0,8.716666666666667,15.0,8.716666666666667
4x4,MS,zephyr,qpu:zephyr,-1,600,5,2027,120,2540,timeout,True,27.86744819999876,825.0,6.875,12.0,6.875
4x4,MS,zephyr,qpu:zephyr,-1,600,5,2028,120,2540,timeout,True,21.94450490000054,1035.0,8.625,16.0,8.625
4x4,MS,zephyr,qpu:zephyr,-1,1200,5,2024,120,2540,timeout,True,34.68853119999949,965.0,8.041666666666666,14.0,8.041666666666666
4x4,MS,zephyr,qpu:zephyr,-1,1200,5,2025,120,2540,timeout,True,32.52643329999955,918.0,7.65,14.0,7.65
4x4,MS,zephyr,qpu:zephyr,-1,1200,5,2026,120,2540,timeout,True,10.849385400000756,1046.0,8.716666666666667,15.0,8.716666666666667
4x4,MS,zephyr,qpu:zephyr,-1,1200,5,2027,120,2540,timeout,True,27.571992900000623,825.0,6.875,12.0,6.875
4x4,MS,zephyr,qpu:zephyr,-1,1200,5,2028,120,2540,timeout,True,21.59999720000087,1035.0,8.625,16.0,8.625
4x4,MS,zephyr,qpu:zephyr,-1,2400,5,2024,120,2540,timeout,True,34.672489000000496,965.0,8.041666666666666,14.0,8.041666666666666
4x4,MS,zephyr,qpu:zephyr,-1,2400,5,2025,120,2540,timeout,True,32.9416655999994,918.0,7.65,14.0,7.65
4x4,MS,zephyr,qpu:zephyr,-1,2400,5,2026,120,2540,timeout,True,10.891990699999951,1046.0,8.716666666666667,15.0,8.716666666666667
4x4,MS,zephyr,qpu:zephyr,-1,2400,5,2027,120,2540,timeout,True,27.82658409999931,825.0,6.875,12.0,6.875
4x4,MS,zephyr,qpu:zephyr,-1,2400,5,2028,120,2540,timeout,True,21.726563899999743,1035.0,8.625,16.0,8.625
6x6,MS,zephyr,qpu:zephyr,-1,300,5,2024,259,8701,timeout,False,304.83185520000006,,,,
6x6,MS,zephyr,qpu:zephyr,-1,300,5,2025,259,8701,timeout,False,305.26764900000126,,,,
6x6,MS,zephyr,qpu:zephyr,-1,300,5,2026,259,8701,timeout,False,306.9882770000004,,,,
6x6,MS,zephyr,qpu:zephyr,-1,300,5,2027,259,8701,timeout,False,307.1486604000001,,,,
6x6,MS,zephyr,qpu:zephyr,-1,300,5,2028,259,8701,timeout,False,306.8724662000004,,,,
6x6,MS,zephyr,qpu:zephyr,-1,600,5,2024,259,8701,timeout,False,441.5154670999982,,,,
6x6,MS,zephyr,qpu:zephyr,-1,600,5,2025,259,8701,timeout,False,602.2568280000014,,,,
6x6,MS,zephyr,qpu:zephyr,-1,600,5,2026,259,8701,timeout,False,602.0721637999995,,,,
6x6,MS,zephyr,qpu:zephyr,-1,600,5,2027,259,8701,timeout,False,600.7989137000004,,,,
6x6,MS,zephyr,qpu:zephyr,-1,600,5,2028,259,8701,timeout,False,564.5127174000008,,,,
6x6,MS,zephyr,qpu:zephyr,-1,1200,5,2024,259,8701,timeout,False,446.04048630000034,,,,
6x6,MS,zephyr,qpu:zephyr,-1,1200,5,2025,259,8701,timeout,False,696.4474381,,,,
6x6,MS,zephyr,qpu:zephyr,-1,1200,5,2026,259,8701,timeout,False,744.8660008000006,,,,
6x6,MS,zephyr,qpu:zephyr,-1,1200,5,2027,259,8701,timeout,False,616.1369281999978,,,,
6x6,MS,zephyr,qpu:zephyr,-1,1200,5,2028,259,8701,timeout,False,566.6726037000008,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,5,2024,259,8701,timeout,False,445.8524364999976,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,5,2025,259,8701,timeout,False,700.8285538000018,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,5,2026,259,8701,timeout,False,738.9207420999992,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,5,2027,259,8701,timeout,False,613.4756037000006,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,5,2028,259,8701,timeout,False,573.2107161999993,,,,
8x8,MS,zephyr,qpu:zephyr,-1,300,5,2024,413,17603,timeout,False,308.92546270000094,,,,
8x8,MS,zephyr,qpu:zephyr,-1,300,5,2025,413,17603,timeout,False,308.9662888000021,,,,
8x8,MS,zephyr,qpu:zephyr,-1,300,5,2026,413,17603,timeout,False,306.7656844000012,,,,
8x8,MS,zephyr,qpu:zephyr,-1,300,5,2027,413,17603,timeout,False,309.42226109999683,,,,
8x8,MS,zephyr,qpu:zephyr,-1,300,5,2028,413,17603,timeout,False,308.6099041999987,,,,
8x8,MS,zephyr,qpu:zephyr,-1,600,5,2024,413,17603,timeout,False,610.2979943000028,,,,
8x8,MS,zephyr,qpu:zephyr,-1,600,5,2025,413,17603,timeout,False,609.7356414999995,,,,
8x8,MS,zephyr,qpu:zephyr,-1,600,5,2026,413,17603,timeout,False,607.432764000001,,,,
8x8,MS,zephyr,qpu:zephyr,-1,600,5,2027,413,17603,timeout,False,612.9003350999992,,,,
8x8,MS,zephyr,qpu:zephyr,-1,600,5,2028,413,17603,timeout,False,612.9373083999999,,,,
8x8,MS,zephyr,qpu:zephyr,-1,1200,5,2024,413,17603,timeout,False,1209.8217038999974,,,,
8x8,MS,zephyr,qpu:zephyr,-1,1200,5,2025,413,17603,timeout,False,1072.5306238000012,,,,
8x8,MS,zephyr,qpu:zephyr,-1,1200,5,2026,413,17603,timeout,False,1209.0335227000032,,,,
8x8,MS,zephyr,qpu:zephyr,-1,1200,5,2027,413,17603,timeout,False,1034.0675316999989,,,,
8x8,MS,zephyr,qpu:zephyr,-1,1200,5,2028,413,17603,timeout,False,1201.2536460999982,,,,
8x8,MS,zephyr,qpu:zephyr,-1,2400,5,2024,413,17603,timeout,False,1601.105496600001,,,,
8x8,MS,zephyr,qpu:zephyr,-1,2400,5,2025,413,17603,timeout,False,1079.4098496000006,,,,
8x8,MS,zephyr,qpu:zephyr,-1,2400,5,2026,413,17603,timeout,False,1584.7979831999985,,,,
8x8,MS,zephyr,qpu:zephyr,-1,2400,5,2027,413,17603,timeout,False,1041.6204937000002,,,,
8x8,MS,zephyr,qpu:zephyr,-1,2400,5,2028,413,17603,timeout,False,1446.1982200999992,,,,
15x15,MS,zephyr,qpu:zephyr,-1,300,5,2024,1439,123857,timeout,False,399.2237553999949,,,,
15x15,MS,zephyr,qpu:zephyr,-1,300,5,2025,1439,123857,timeout,False,410.0548543000041,,,,
15x15,MS,zephyr,qpu:zephyr,-1,300,5,2026,1439,123857,timeout,False,351.74319800000376,,,,
