instance,size,formulation,qubo_variables,qubo_terms,qubo_quadratic_terms,decision_variables,encoding_variables,slack_variables,qubo_min,qubo_max,qubo_range,penalty_objective_upper_bound,penalty_margin,penalty_lambda
4x4,4,SS,44,290,246,20,0,24,-30650926.614000004,28995066.636400003,59645993.25040001,5379.243,1.1,5917.167300000001
4x4,4,MS,120,2660,2540,4,92,24,-26508909.504000004,28995066.636400003,55503976.14040001,5379.243,1.1,5917.167300000001
6x6,6,SS,79,650,571,42,0,37,-89498283.46800001,61754762.879020005,151253046.34702003,11791.6052,1.1,12970.765720000001
6x6,6,MS,259,8960,8701,6,216,37,-57278901.419520006,61754762.879020005,119033664.29854001,11791.6052,1.1,12970.765720000001
8x8,8,SS,117,1147,1030,72,0,45,-336843474.00703996,384213301.75078,721056775.7578199,16385.9878,1.1,18024.58658
8x8,8,MS,413,18016,17603,8,360,45,-336843474.00703996,384213301.75078,721056775.7578199,16385.9878,1.1,18024.58658
15x15,15,SS,329,5355,5026,240,0,89,-749692508.9940001,828988069.9566501,1578680578.9506502,56984.836500000005,1.1,62683.32015000001
15x15,15,MS,1439,125296,123857,15,1335,89,-749692508.9940001,828988069.9566501,1578680578.9506502,56984.836500000005,1.1,62683.32015000001
