instance,MS,MS_INT,SS,ordering_ok,discretization_loss,single_source_premium
4x4,2416.8364,2416.8364,2416.8364,True,0.0,0.0
6x6,3968.8513,3968.8513,4886.794,True,0.0,917.9427
8x8,3626.6311,3626.6311,3952.5153,True,0.0,325.8842
15x15,7909.2986,7909.2986,8489.1855,True,0.0,579.8869
